,precision,recall,f1-score,support
hypo,0.3155893536121673,0.7757009345794392,0.4486486486486487,107.0
normal,0.8713910761154856,0.5855379188712522,0.70042194092827,1134.0
hyper_mild,0.3105134474327628,0.49609375,0.3819548872180451,256.0
hyper_severe,0.44150943396226416,0.5792079207920792,0.5010706638115632,202.0
accuracy,0.583284284873455,0.583284284873455,0.583284284873455,0.583284284873455
macro avg,0.48475082778067,0.6091351310606926,0.5080240351516317,1699.0
weighted avg,0.700766268013318,0.583284284873455,0.6128785236232013,1699.0
