,precision,recall,f1-score,support
hypo,0.4142857142857143,0.8613861386138614,0.5594855305466238,101.0
normal,0.9389865563598759,0.7388120423108218,0.8269581056466302,1229.0
hyper_mild,0.4186666666666667,0.6460905349794238,0.5080906148867314,243.0
hyper_severe,0.6756756756756757,0.7874015748031497,0.7272727272727273,127.0
accuracy,0.7364705882352941,0.7364705882352941,0.7364705882352941,0.7364705882352941
macro avg,0.6119036532469831,0.7584225726768141,0.6554517445881782,1700.0
weighted avg,0.8137671445411503,0.7364705882352941,0.7580407095329585,1700.0
