,precision,recall,f1-score,support
hypo,0.330188679245283,0.7608695652173914,0.4605263157894737,92.0
normal,0.8631319358816276,0.6289308176100629,0.7276507276507277,1113.0
hyper_mild,0.3333333333333333,0.48928571428571427,0.39652677279305354,280.0
hyper_severe,0.49624060150375937,0.6139534883720931,0.5488565488565489,215.0
accuracy,0.6111764705882353,0.6111764705882353,0.6111764705882353,0.6111764705882353
macro avg,0.5057236374910008,0.6232598963713154,0.533390091272451,1700.0
weighted avg,0.7006283916373288,0.6111764705882353,0.6360443148906497,1700.0
