feature,coef_OLS,coef_Ridge,coef_Lasso,lasso_selected
cgm_at_meal,95.97251217656833,76.2026011585117,77.47991953800413,True
cgm_pre_mean,-122.32073220441187,-72.56241674119768,-72.40702187064537,True
cgm_pre_std,-2.663773147240694,-5.288285999439561,-4.149379772809664,True
cgm_pre_min,26.135128093029138,7.452382210124955,8.701221915636705,True
cgm_pre_max,28.39836075412043,18.85570935142506,15.52140204836323,True
cgm_slope_15,16.71477492852105,18.546762794784094,18.557927301791036,True
cgm_slope_30,-36.27462759952326,-29.391421149108613,-29.741486607086465,True
carbs,3.1412216692399677,3.214816309695713,3.165643977961589,True
protein,-1.7465767921348654,-1.7890869575690405,-1.7449292200719464,True
fat,-1.002404430006349,-0.9825931642675858,-0.9135815296968487,True
fiber,0.035985157761465165,0.10148726960420101,0.049620314818622786,True
hour_sin,1.7515150560352144,1.7813853683048113,1.6484649225563015,True
hour_cos,-0.3770772764532405,-0.35387472122092334,-0.24366777665056594,True
bio_A1c PDL (Lab),3.8904360693679902,4.040729359591915,3.5428155834435713,True
bio_Fasting GLU - PDL (Lab),-0.42996678275182926,-0.5078024362015308,-0.16527104727216713,True
bio_Insulin,3.6843067142541734,3.73156566790518,3.615544942759379,True
bio_BMI,-2.783771188897961,-2.8968834827237595,-2.7754559269519814,True
bio_Age,-0.6691291609735058,-0.7421449087404403,-0.6985737033747237,True
bio_group_encoded,-0.2367275307863476,-0.23342450400691422,-0.0,False
bio_gender_encoded,-1.897693472018541,-1.945945584173957,-1.90698648613784,True
meal_breakfast,2.0979718781952768,2.293429739270148,2.805836850464621,True
meal_dinner,-0.29030577092195053,-0.34361328798069196,0.0,False
meal_lunch,-0.8392017488870125,-0.9451953594520344,-0.39023094748726106,True
meal_snacks,-1.0372610692362465,-1.0739427103419046,-0.680803413286885,True
