feature,coef_OLS,coef_Ridge,coef_Lasso,lasso_selected
cgm_at_meal,63.61879010221141,48.08448588285742,16.64456350665063,True
cgm_pre_mean,-97.7744181187004,-57.297070228641026,0.0,False
cgm_pre_std,8.919637575819614,3.316680272769355,-6.408071292380538,True
cgm_pre_min,53.92359665678316,31.82153880988945,0.31789668528337195,True
cgm_pre_max,-11.467511021476238,-11.204277583909246,0.0,False
cgm_slope_15,9.536253707412751,10.792925143685418,8.19989725659882,True
cgm_slope_30,-22.52935611099544,-16.907433603680943,-1.693820647202647,True
carbs,7.478214891221483,7.5009995302103185,6.872041331570878,True
protein,-4.812813947646527,-4.8093006174363335,-4.042410804732725,True
fat,-0.74510923524508,-0.7178403616409867,-0.1308386182660354,True
fiber,-1.093783837869679,-1.0213449789409408,-0.7677158455700942,True
hour_sin,2.8080152999990777,2.7581225099131292,2.516955281031509,True
hour_cos,0.8450544560639041,0.8582371266645468,0.0,False
bio_A1c PDL (Lab),10.3834982325969,10.44038514269983,8.091192041646773,True
bio_Fasting GLU - PDL (Lab),14.398412162748317,14.33505455485388,15.196525639938464,True
bio_Insulin,1.923398706117194,1.9474293247013381,0.7731475178030656,True
bio_BMI,-1.8092335440693819,-1.8872768202746375,-0.8627489344859516,True
bio_Age,-0.6610071313852847,-0.7348265467303005,-0.2637256956973737,True
bio_group_encoded,-1.611970558083573,-1.525274395299025,0.0,False
bio_gender_encoded,-0.4965360569083099,-0.5208396440524801,-0.2845530917029364,True
meal_breakfast,1.6998239451331538,1.8733369969324387,2.2227956626292382,True
meal_dinner,-0.2494737571319525,-0.2943079816810627,0.0,False
meal_lunch,0.9288923738380129,0.809440030473339,-0.0,False
meal_snacks,-2.576924336860198,-2.584729430745495,-1.738685195894499,True
