,precision,recall,f1-score,support
hypo,0.5064102564102564,0.7821782178217822,0.6147859922178989,101.0
normal,0.9355203619909502,0.6729048006509357,0.7827733080927591,1229.0
hyper_mild,0.3182711198428291,0.6666666666666666,0.4308510638297872,243.0
hyper_severe,0.5629139072847682,0.6692913385826772,0.6115107913669064,127.0
accuracy,0.678235294117647,0.678235294117647,0.678235294117647,0.678235294117647
macro avg,0.580778911382201,0.6977602559305155,0.609980288876838,1700.0
weighted avg,0.7939599465478157,0.678235294117647,0.7096943881613201,1700.0
