,precision,recall,f1-score,support
hypo,0.30078125,0.719626168224299,0.42424242424242425,107.0
normal,0.8774104683195593,0.5617283950617284,0.6849462365591398,1134.0
hyper_mild,0.3012295081967213,0.57421875,0.3951612903225806,256.0
hyper_severe,0.4585152838427948,0.5198019801980198,0.4872389791183295,202.0
accuracy,0.568569746909947,0.568569746909947,0.568569746909947,0.568569746909947
macro avg,0.4844841275897689,0.5938438233710118,0.4978972325606186,1699.0
weighted avg,0.7044743415297148,0.5685697469099471,0.6013575843181207,1699.0
