,precision,recall,f1-score,support
hypo,0.30303030303030304,0.6521739130434783,0.41379310344827586,92.0
normal,0.8352941176470589,0.5103324348607368,0.6335750139431121,1113.0
hyper_mild,0.26833631484794274,0.5357142857142857,0.3575685339690107,280.0
hyper_severe,0.4828897338403042,0.5906976744186047,0.5313807531380753,215.0
accuracy,0.5323529411764706,0.5323529411764706,0.5323529411764706,0.5323529411764706
macro avg,0.4723876173414022,0.5722295770092763,0.48407935112461853,1700.0
weighted avg,0.6685391775017963,0.5323529411764706,0.5632964749834909,1700.0
