,precision,recall,f1-score,support
hypo,0.5,0.4891304347826087,0.4945054945054945,92.0
normal,0.821969696969697,0.779874213836478,0.8003688335638544,1113.0
hyper_mild,0.3394495412844037,0.3964285714285714,0.3657331136738056,280.0
hyper_severe,0.5374449339207048,0.5674418604651162,0.5520361990950227,215.0
accuracy,0.6741176470588235,0.6741176470588235,0.6741176470588235,0.6741176470588235
macro avg,0.5497160430437014,0.5582187701281935,0.5531609102095443,1700.0
weighted avg,0.689087532399916,0.6741176470588235,0.6808223952265711,1700.0
