,precision,recall,f1-score,support
hypo,0.625,0.5607476635514018,0.5911330049261084,107.0
normal,0.8427495291902072,0.7892416225749559,0.8151183970856102,1134.0
hyper_mild,0.33116883116883117,0.3984375,0.3617021276595745,256.0
hyper_severe,0.4334763948497854,0.5,0.46436781609195404,202.0
accuracy,0.681577398469688,0.681577398469688,0.681577398469688,0.681577398469688
macro avg,0.5580986888022059,0.5621066965315894,0.5580803364408118,1699.0
weighted avg,0.7032927714188184,0.681577398469688,0.6909908989721021,1699.0
