,precision,recall,f1-score,support
hypo,0.6129032258064516,0.7524752475247525,0.6755555555555556,101.0
normal,0.9146666666666666,0.8372660699755899,0.8742565845369583,1229.0
hyper_mild,0.42378048780487804,0.5720164609053497,0.4868651488616462,243.0
hyper_severe,0.6747967479674797,0.6535433070866141,0.664,127.0
accuracy,0.7805882352941177,0.7805882352941177,0.7805882352941177,0.7805882352941177
macro avg,0.656536782061369,0.7038252713730766,0.6751693222385401,1700.0
weighted avg,0.8086508262754354,0.7805882352941177,0.79136981451789,1700.0
